Lead_ID,Customer_Name,City,Pincode
5001,Pooja Das,kolkata,354889
5002,Siddharth Reddy, poona,801668
5003,Pooja Nair,Mumai,288826
5004,Tanvi Mishra,Hyderabad ,753471
5005,Siddharth Singh,BHOPAL,654674
5006,Tanvi Reddy,bhopal,831998
5007,Kiran Mishra,BLR,765107
5008,Kiran Nair,thane ,521710
5009,Rohan Mishra, Pink City,780527
5010,Pooja Joshi,Thana,768268
5011,Arjun Joshi,Jaipur,666214
5012,Kiran Sharma,Lucknow,549619
5013,Kiran Das,PUNE,601637
5014,Anjali Singh,Bhopal,147116
5015,Arjun Das,,356708
5016,Meera Singh,bangalore,796627
5017,Siddharth Joshi,pune,516278
5018,Meera Joshi,Hyderabad,387278
5019,Siddharth Reddy,begaluru,246850
5020,Arjun Mehta,Patna,612185
5021,Kiran Patil,Chennai,148839
5022,Tanvi Mehta,Delhi,494148
5023,Rohan Das,Bangalore,623273
5024,Meera Kulkarni,NGP,440522
5025,Yash Joshi,CHENNAI  ,450063
5026,Yash Mishra,NGP,398146
5027,Siddharth Kulkarni, poona,130730
5028,Pooja Singh,,669151
5029,Siddharth Mishra,Bhopl,201775
5030,Kiran Singh,Calcutta,751189
5031,Siddharth Mehta,PUNE,835425
5032,Yash Mishra,indor,464584
5033,Kiran Reddy,MUMBAI,112879
5034,Siddharth Sharma,PUNE,630007
5035,Tanvi Nair,amdavad,349642
5036,Aditya Sharma,,759485
5037,Siddharth Joshi,HYD,292882
5038,Tanvi Singh,thane ,706401
5039,Kiran Patil,Kolkata,261079
5040,Kiran Nair,Patnaa,351880
5041,Pooja Kulkarni,nagpur ,715416
5042,Kiran Reddy,lucknow,239619
5043,Arjun Reddy,Ahmadabad,231455
5044,Yash Mehta,Nagpr,323190
5045,Siddharth Reddy,NAGPUR,184164
5046,Kiran Singh,CCU,634194
5047,Yash Nair,NAGPUR,151602
5048,Arjun Mehta,Bombay,744310
5049,Rohan Sharma,amdavad,160592
5050,Aditya Mishra,MAA,483124
5051,Kiran Reddy,kolkaata,618101
5052,Kiran Das,delhi ,386163
5053,Anjali Mehta,pune,784544
5054,Kiran Kulkarni,Mumbai,618612
5055,Siddharth Kulkarni,pune,218840
5056,Yash Reddy,Pune,713250
5057,Rohan Mehta,Poona,552034
5058,Meera Kulkarni,lucknow,805727
5059,Pooja Kulkarni,luknow,547467
5060,Siddharth Mehta,Bombay,686086
5061,Kiran Patil,kolkaata,317961
5062,Yash Kulkarni,bangalore,234177
5063,Pooja Mehta,Bambai,390211
5064,Kiran Das,Lucknow,730302
5065,Pooja Nair,Poona,777045
5066,Yash Patil,kolkaata,847247
5067,Kiran Sharma,Bhopal,686680
5068,Pooja Sharma,DELHI,472370
5069,Kiran Mishra,  Mumbai  ,114012
5070,Siddharth Joshi, Pink City,750418
5071,Tanvi Nair,jaipur,330228
5072,Anjali Joshi,MUMBAI,376893
5073,Tanvi Sharma,,818521
5074,Siddharth Mehta,delhi ,293442
5075,Meera Patil,mumbai,336218
5076,Rohan Das,MUMBAI,136764
5077,Tanvi Mishra,NGP,408724
5078,Kiran Patil,Pune  ,129670
5079,Siddharth Nair,Bengaluru,448080
5080,Kiran Mishra, Pink City,427216
5081,Aditya Mishra,bengaluru,179003
5082,Siddharth Mehta, Pink City,665774
5083,Pooja Singh,thane ,583167
5084,Aditya Patil,begaluru,815786
5085,Tanvi Mehta,Chennai,848299
5086,Siddharth Singh,Ahmadabad,347377
5087,Yash Patil,Chennai,486585
5088,Siddharth Nair,pune,764440
5089,Yash Sharma,bangalore,287072
5090,Pooja Singh,Dilli,674810
5091,Pooja Sharma,AMD,418797
5092,Meera Das,Amdavad,551874
5093,Rohan Sharma,delhi,329778
5094,Siddharth Kulkarni,thane ,194289
5095,Meera Mehta,kolkata,287490
5096,Kiran Das,patna,185049
5097,Pooja Kulkarni,Chenai,263867
5098,Kiran Mishra,nagpur ,582531
5099,Tanvi Patil,PUNE,814945
