Lead_ID,Customer_Name,City,Pincode
5001,Pooja Das,Kolkata,354889
5002,Siddharth Reddy,Pune,801668
5003,Pooja Nair,Mumbai,288826
5004,Tanvi Mishra,Hyderabad,753471
5005,Siddharth Singh,Bhopal,654674
5006,Tanvi Reddy,Bhopal,831998
5007,Kiran Mishra,Bengaluru,765107
5008,Kiran Nair,Thane,521710
5009,Rohan Mishra,Jaipur,780527
5010,Pooja Joshi,Thane,768268
5011,Arjun Joshi,Jaipur,666214
5012,Kiran Sharma,Lucknow,549619
5013,Kiran Das,Pune,601637
5014,Anjali Singh,Bhopal,147116
5015,Arjun Das,Not Given,356708
5016,Meera Singh,Bengaluru,796627
5017,Siddharth Joshi,Pune,516278
5018,Meera Joshi,Hyderabad,387278
5019,Siddharth Reddy,Bengaluru,246850
5020,Arjun Mehta,Patna,612185
5021,Kiran Patil,Chennai,148839
5022,Tanvi Mehta,Delhi,494148
5023,Rohan Das,Bengaluru,623273
5024,Meera Kulkarni,Nagpur,440522
5025,Yash Joshi,Chennai,450063
5026,Yash Mishra,Nagpur,398146
5027,Siddharth Kulkarni,Pune,130730
5028,Pooja Singh,Not Given,669151
5029,Siddharth Mishra,Bhopal,201775
5030,Kiran Singh,Kolkata,751189
5031,Siddharth Mehta,Pune,835425
5032,Yash Mishra,Indore,464584
5033,Kiran Reddy,Not Given,112879
5034,Siddharth Sharma,Pune,630007
5035,Tanvi Nair,Ahmedabad,349642
5036,Aditya Sharma,Not Given,759485
5037,Siddharth Joshi,Hyderabad,292882
5038,Tanvi Singh,Thane,706401
5039,Kiran Patil,Kolkata,261079
5040,Kiran Nair,Patna,351880
5041,Pooja Kulkarni,Nagpur,715416
5042,Kiran Reddy,Lucknow,239619
5043,Arjun Reddy,Ahmedabad,231455
5044,Yash Mehta,Nagpur,323190
5045,Siddharth Reddy,Nagpur,184164
5046,Kiran Singh,Kolkata,634194
5047,Yash Nair,Nagpur,151602
5048,Arjun Mehta,Mumbai,744310
5049,Rohan Sharma,Ahmedabad,160592
5050,Aditya Mishra,Chennai,483124
5051,Kiran Reddy,Kolkata,618101
5052,Kiran Das,Delhi,386163
5053,Anjali Mehta,Pune,784544
5054,Kiran Kulkarni,Not Given,618612
5055,Siddharth Kulkarni,Pune,218840
5056,Yash Reddy,Pune,713250
5057,Rohan Mehta,Pune,552034
5058,Meera Kulkarni,Lucknow,805727
5059,Pooja Kulkarni,Lucknow,547467
5060,Siddharth Mehta,Mumbai,686086
5061,Kiran Patil,Kolkata,317961
5062,Yash Kulkarni,Bengaluru,234177
5063,Pooja Mehta,Mumbai,390211
5064,Kiran Das,Lucknow,730302
5065,Pooja Nair,Pune,777045
5066,Yash Patil,Kolkata,847247
5067,Kiran Sharma,Bhopal,686680
5068,Pooja Sharma,Delhi,472370
5069,Kiran Mishra,Not Given,114012
5070,Siddharth Joshi,Jaipur,750418
5071,Tanvi Nair,Jaipur,330228
5072,Anjali Joshi,Not Given,376893
5073,Tanvi Sharma,Not Given,818521
5074,Siddharth Mehta,Delhi,293442
5075,Meera Patil,Not Given,336218
5076,Rohan Das,Not Given,136764
5077,Tanvi Mishra,Nagpur,408724
5078,Kiran Patil,Pune,129670
5079,Siddharth Nair,Bengaluru,448080
5080,Kiran Mishra,Jaipur,427216
5081,Aditya Mishra,Bengaluru,179003
5082,Siddharth Mehta,Jaipur,665774
5083,Pooja Singh,Thane,583167
5084,Aditya Patil,Bengaluru,815786
5085,Tanvi Mehta,Chennai,848299
